from_account,to_account,amount,device_id,ip_address,country,risk_score,timestamp
ACC0102,ACC0076,497.24,D004,227.206.28.126,USA,0.2,2025-10-01 23:25:22
ACC0295,ACC0100,993.81,D092,177.186.11.238,Panama,0.85,2025-09-17 00:44:50
ACC0218,ACC0113,934.45,D023,244.227.41.126,France,0.3,2025-09-18 07:54:55
ACC0238,ACC0272,641.42,D072,123.166.218.194,UAE,0.4,2025-10-06 08:40:24
ACC0219,ACC0281,1489.87,D058,76.202.73.225,Germany,0.25,2025-09-25 07:39:19
ACC0267,ACC0249,556.45,D081,83.70.79.95,Canada,0.2,2025-09-27 09:03:10
ACC0277,ACC0042,470.21,D018,190.64.26.116,Germany,0.25,2025-10-01 15:27:06
ACC0170,ACC0278,133.91,D060,109.241.207.159,Panama,0.85,2025-09-12 19:19:13
ACC0295,ACC0195,1886.06,D062,109.228.238.254,USA,0.2,2025-10-02 04:45:33
ACC0276,ACC0280,981.58,D078,134.17.109.96,Canada,0.2,2025-10-01 11:37:38
ACC0085,ACC0240,1072.91,D017,161.154.179.16,UAE,0.4,2025-09-15 22:22:12
ACC0220,ACC0070,110.07,D060,64.126.93.96,Germany,0.25,2025-09-30 06:16:41
ACC0143,ACC0216,945.91,D033,23.253.99.67,UK,0.3,2025-09-15 04:30:37
ACC0021,ACC0016,1680.07,D032,71.42.131.181,Canada,0.2,2025-09-17 09:50:15
ACC0289,ACC0112,1536.13,D060,165.201.193.39,Singapore,0.35,2025-09-19 19:21:54
ACC0160,ACC0056,1858.49,D075,242.255.106.111,USA,0.2,2025-09-21 11:38:06
ACC0039,ACC0125,1702.08,D014,40.213.154.210,Singapore,0.35,2025-09-13 20:24:47
ACC0178,ACC0273,147.22,D055,13.227.117.220,Cayman Islands,0.9,2025-10-05 15:41:25
ACC0055,ACC0222,1417.54,D047,197.143.176.79,India,0.25,2025-10-11 18:09:14
ACC0276,ACC0248,1653.21,D060,92.228.72.222,Panama,0.85,2025-09-16 01:32:01
ACC0143,ACC0231,1144.0,D032,96.17.136.227,India,0.25,2025-09-27 15:13:59
ACC0094,ACC0250,1597.69,D028,235.162.189.235,Cayman Islands,0.9,2025-09-25 06:26:25
ACC0285,ACC0006,180.37,D067,135.152.204.71,Canada,0.2,2025-10-04 23:15:10
ACC0252,ACC0230,595.53,D003,72.88.179.158,UK,0.3,2025-09-29 18:30:14
ACC0243,ACC0284,856.75,D068,94.100.189.126,Cayman Islands,0.9,2025-09-25 00:12:16
ACC0157,ACC0129,1445.36,D030,200.147.253.205,UK,0.3,2025-09-20 20:16:45
ACC0099,ACC0111,560.23,D095,204.144.162.82,India,0.25,2025-09-16 17:41:08
ACC0100,ACC0152,13012.03,D030,21.23.151.84,Panama,0.85,2025-09-17 23:41:25
ACC0252,ACC0053,575.84,D002,97.57.23.74,UAE,0.4,2025-10-05 01:09:32
ACC0059,ACC0034,157.42,D052,23.48.48.217,India,0.25,2025-10-09 04:19:11
ACC0156,ACC0044,1120.57,D032,162.212.168.67,UK,0.3,2025-10-07 05:24:19
ACC0195,ACC0231,1721.73,D057,88.155.168.25,Singapore,0.35,2025-10-11 10:50:08
ACC0051,ACC0107,536.65,D081,71.54.151.29,Canada,0.2,2025-09-19 10:56:16
ACC0002,ACC0210,9321.57,D058,189.230.126.28,Panama,0.85,2025-09-23 04:31:21
ACC0136,ACC0102,1093.68,D055,242.78.221.46,UK,0.3,2025-09-15 07:45:45
ACC0031,ACC0085,1500.43,D040,83.122.41.129,UAE,0.4,2025-09-26 14:51:21
ACC0207,ACC0140,992.65,D065,20.237.120.198,France,0.3,2025-09-27 12:05:45
ACC0129,ACC0014,1924.2,D012,157.160.253.15,Canada,0.2,2025-09-24 22:34:02
ACC0296,ACC0021,946.3,D098,244.81.56.159,Germany,0.25,2025-10-03 00:24:25
ACC0252,ACC0047,822.61,D061,36.229.51.94,Cayman Islands,0.9,2025-10-01 20:09:55
ACC0254,ACC0148,1629.0,D085,126.32.90.74,Panama,0.85,2025-09-27 13:12:19
ACC0060,ACC0207,1318.74,D066,115.23.58.142,USA,0.2,2025-09-29 10:04:03
ACC0256,ACC0227,415.08,D098,247.83.122.235,USA,0.2,2025-10-05 09:17:39
ACC0063,ACC0015,1600.63,D081,89.151.13.151,UAE,0.4,2025-10-01 15:54:27
ACC0048,ACC0116,1894.65,D015,49.137.248.193,India,0.25,2025-09-26 00:36:27
ACC0261,ACC0140,1960.69,D054,151.47.108.58,India,0.25,2025-10-10 22:53:22
ACC0261,ACC0070,1547.62,D009,97.249.211.139,Singapore,0.35,2025-09-24 19:50:34
ACC0002,ACC0145,1676.58,D093,178.135.231.48,Singapore,0.35,2025-10-03 12:49:46
ACC0276,ACC0248,1108.32,D045,126.248.92.232,Cayman Islands,0.9,2025-09-21 00:21:36
ACC0123,ACC0293,1713.47,D050,91.200.131.190,Canada,0.2,2025-09-30 08:43:50
ACC0198,ACC0078,261.23,D064,94.232.35.233,USA,0.2,2025-10-03 05:33:29
ACC0052,ACC0270,1447.66,D059,177.49.29.130,USA,0.2,2025-09-24 17:20:17
ACC0174,ACC0204,1705.01,D084,229.146.107.254,UK,0.3,2025-09-27 05:30:04
ACC0250,ACC0278,146.16,D005,245.83.68.201,UAE,0.4,2025-09-16 05:51:49
ACC0223,ACC0051,892.92,D098,241.17.21.93,UK,0.3,2025-09-14 13:56:52
ACC0151,ACC0184,299.68,D048,154.184.212.56,Panama,0.85,2025-09-20 02:36:34
ACC0090,ACC0041,1243.22,D079,243.159.46.69,Panama,0.85,2025-10-04 05:50:33
ACC0131,ACC0236,1798.83,D033,83.183.149.50,USA,0.2,2025-09-15 10:37:10
ACC0227,ACC0177,1281.49,D076,74.126.226.87,Singapore,0.35,2025-09-21 12:40:07
ACC0197,ACC0248,768.91,D014,85.189.85.15,Canada,0.2,2025-10-01 01:42:40
ACC0141,ACC0005,1822.13,D073,223.241.241.83,USA,0.2,2025-09-23 00:40:17
ACC0181,ACC0113,1245.57,D082,194.206.178.184,Canada,0.2,2025-09-18 11:55:24
ACC0050,ACC0021,76.4,D040,43.33.242.85,India,0.25,2025-09-27 17:13:10
ACC0213,ACC0090,1575.16,D026,103.145.138.243,Germany,0.25,2025-09-25 02:04:53
ACC0085,ACC0132,1495.65,D062,39.129.29.46,Singapore,0.35,2025-09-22 19:25:27
ACC0204,ACC0286,13048.58,D047,104.182.201.182,Panama,0.85,2025-09-24 14:00:15
ACC0300,ACC0196,225.61,D082,16.168.236.251,Cayman Islands,0.9,2025-10-09 02:39:04
ACC0168,ACC0114,1274.45,D083,189.87.176.114,UK,0.3,2025-09-17 12:30:05
ACC0072,ACC0024,1991.9,D005,70.237.147.44,Singapore,0.35,2025-09-30 17:22:09
ACC0233,ACC0190,844.06,D086,49.236.116.177,France,0.3,2025-09-16 15:55:57
ACC0251,ACC0209,1383.66,D036,123.253.70.228,USA,0.2,2025-09-29 11:07:26
ACC0051,ACC0189,130.49,D070,41.252.227.220,Cayman Islands,0.9,2025-10-03 22:20:53
ACC0047,ACC0109,1942.48,D083,95.72.42.211,UAE,0.4,2025-10-09 06:20:42
ACC0106,ACC0036,422.24,D098,232.69.94.208,France,0.3,2025-09-19 00:28:38
ACC0002,ACC0142,1085.03,D019,38.179.231.16,Germany,0.25,2025-09-18 06:07:33
ACC0008,ACC0184,654.31,D031,23.42.199.117,UAE,0.4,2025-10-07 09:29:53
ACC0059,ACC0033,1558.25,D061,37.125.138.66,India,0.25,2025-10-11 17:12:56
ACC0023,ACC0267,19978.8,D039,119.185.37.135,Panama,0.85,2025-10-03 09:21:06
ACC0038,ACC0042,305.18,D042,169.172.159.150,UAE,0.4,2025-09-27 15:25:57
ACC0196,ACC0272,1016.05,D038,213.189.39.228,India,0.25,2025-10-08 14:54:58
ACC0111,ACC0221,833.49,D058,112.116.196.34,Canada,0.2,2025-09-27 00:42:33
ACC0219,ACC0161,754.86,D086,246.131.27.33,Singapore,0.35,2025-09-16 00:01:15
ACC0048,ACC0222,1625.42,D013,160.254.153.153,Cayman Islands,0.9,2025-09-27 20:37:46
ACC0063,ACC0211,1737.5,D046,83.163.89.100,Panama,0.85,2025-09-16 21:16:03
ACC0296,ACC0260,1316.91,D028,37.99.226.152,Germany,0.25,2025-09-29 16:48:13
ACC0059,ACC0143,1616.37,D074,206.219.169.167,Canada,0.2,2025-10-08 21:12:46
ACC0014,ACC0137,553.81,D004,245.96.99.11,Germany,0.25,2025-09-20 15:55:01
ACC0074,ACC0290,148.47,D085,17.33.201.145,Panama,0.85,2025-09-22 07:12:43
ACC0193,ACC0215,323.24,D059,93.208.251.155,Cayman Islands,0.9,2025-10-10 19:12:54
ACC0044,ACC0027,6223.72,D020,179.118.134.165,Panama,0.85,2025-10-03 07:34:58
ACC0213,ACC0140,236.5,D028,82.183.183.161,France,0.3,2025-10-05 11:31:56
ACC0270,ACC0158,796.57,D006,11.62.87.252,Canada,0.2,2025-09-22 02:40:10
ACC0071,ACC0131,248.77,D038,120.54.43.107,Cayman Islands,0.9,2025-10-07 17:04:03
ACC0118,ACC0257,153.43,D072,20.121.14.127,Cayman Islands,0.9,2025-09-15 15:16:50
ACC0161,ACC0295,814.8,D055,84.39.113.15,UAE,0.4,2025-09-27 14:56:47
ACC0088,ACC0236,185.38,D089,72.121.160.112,Cayman Islands,0.9,2025-10-07 07:01:29
ACC0041,ACC0203,450.93,D040,29.140.172.39,Cayman Islands,0.9,2025-10-07 14:45:48
ACC0262,ACC0100,708.69,D100,175.218.47.70,Cayman Islands,0.9,2025-09-16 20:20:24
ACC0075,ACC0132,1208.77,D026,177.29.55.253,Germany,0.25,2025-10-05 20:15:08
ACC0238,ACC0289,903.32,D098,154.174.172.169,UAE,0.4,2025-09-27 13:07:44
ACC0162,ACC0078,943.15,D057,213.80.161.24,UK,0.3,2025-09-28 22:36:23
ACC0260,ACC0038,909.31,D040,222.83.29.175,India,0.25,2025-09-16 05:46:01
ACC0260,ACC0197,1113.09,D060,239.20.125.242,UAE,0.4,2025-10-09 14:35:32
ACC0097,ACC0165,1007.72,D078,125.36.217.240,India,0.25,2025-09-28 12:41:53
ACC0044,ACC0259,87.89,D083,122.144.143.166,Germany,0.25,2025-09-19 13:31:00
ACC0187,ACC0191,823.45,D037,163.23.212.171,Panama,0.85,2025-09-28 02:27:32
ACC0034,ACC0169,1359.97,D013,195.228.178.242,France,0.3,2025-10-11 02:45:41
ACC0077,ACC0171,1330.59,D011,89.177.188.179,UAE,0.4,2025-09-30 21:13:41
ACC0067,ACC0044,759.59,D040,218.42.181.189,France,0.3,2025-10-07 09:51:24
ACC0048,ACC0217,46.28,D066,253.64.97.252,Cayman Islands,0.9,2025-10-05 11:06:39
ACC0099,ACC0116,163.56,D018,35.139.207.148,Germany,0.25,2025-10-07 10:01:04
ACC0020,ACC0173,270.79,D099,51.56.222.187,UAE,0.4,2025-09-19 21:25:52
ACC0225,ACC0023,1355.96,D053,123.166.82.202,Cayman Islands,0.9,2025-10-03 15:36:11
ACC0120,ACC0274,1931.54,D031,241.223.59.104,Singapore,0.35,2025-10-09 13:09:03
ACC0226,ACC0237,1558.47,D099,117.51.219.61,Singapore,0.35,2025-10-11 05:02:53
ACC0071,ACC0129,1749.49,D007,36.192.226.142,India,0.25,2025-09-17 21:49:27
ACC0146,ACC0043,552.85,D098,47.222.121.33,Germany,0.25,2025-09-22 15:15:25
ACC0231,ACC0179,115.98,D004,70.108.30.105,Panama,0.85,2025-09-22 18:10:14
ACC0015,ACC0164,1584.85,D013,83.244.222.130,Cayman Islands,0.9,2025-09-18 14:16:09
ACC0241,ACC0230,8234.82,D079,150.250.196.165,Cayman Islands,0.9,2025-10-07 11:27:45
ACC0217,ACC0057,482.9,D100,71.117.173.213,Singapore,0.35,2025-10-04 01:08:24
ACC0033,ACC0057,1076.75,D064,157.71.193.46,UAE,0.4,2025-09-25 23:55:14
ACC0220,ACC0001,488.72,D079,180.181.31.144,Cayman Islands,0.9,2025-09-29 08:41:52
ACC0035,ACC0270,1574.96,D070,15.109.233.130,France,0.3,2025-09-13 23:17:07
ACC0199,ACC0192,720.62,D033,71.197.178.170,USA,0.2,2025-09-16 21:20:28
ACC0298,ACC0171,711.08,D018,174.54.222.209,USA,0.2,2025-10-04 09:53:20
ACC0246,ACC0094,1434.93,D018,19.85.61.21,UK,0.3,2025-09-21 12:57:48
ACC0022,ACC0162,802.47,D040,131.74.19.202,France,0.3,2025-09-21 03:12:56
ACC0147,ACC0183,1732.94,D100,41.214.104.121,USA,0.2,2025-10-01 06:37:23
ACC0226,ACC0198,997.44,D044,246.214.142.78,Germany,0.25,2025-09-15 20:48:48
ACC0218,ACC0041,1990.25,D056,85.92.36.30,UAE,0.4,2025-09-27 18:37:06
ACC0152,ACC0157,1438.15,D058,123.99.124.20,UAE,0.4,2025-09-28 23:19:31
ACC0223,ACC0141,159.33,D082,103.141.215.201,USA,0.2,2025-09-19 14:57:43
ACC0016,ACC0074,79.25,D078,209.175.103.102,India,0.25,2025-09-30 10:37:18
ACC0291,ACC0017,1361.33,D078,105.123.205.29,Germany,0.25,2025-10-09 17:13:53
ACC0071,ACC0272,635.63,D047,255.39.16.198,Panama,0.85,2025-09-20 21:19:33
ACC0256,ACC0266,244.34,D050,190.124.64.166,France,0.3,2025-09-25 17:17:07
ACC0252,ACC0103,1707.12,D016,240.192.123.32,Germany,0.25,2025-09-27 08:54:39
ACC0178,ACC0034,587.82,D071,50.192.191.247,France,0.3,2025-09-20 07:23:41
ACC0186,ACC0261,1970.41,D029,70.212.136.16,UK,0.3,2025-09-29 09:02:20
ACC0284,ACC0294,1609.29,D048,166.236.32.26,India,0.25,2025-09-26 20:54:50
ACC0204,ACC0246,1540.64,D068,28.42.91.174,Panama,0.85,2025-09-15 10:58:21
ACC0231,ACC0239,695.58,D088,209.151.173.160,France,0.3,2025-09-20 16:33:59
ACC0067,ACC0222,1664.47,D065,87.52.51.92,USA,0.2,2025-09-22 19:15:21
ACC0178,ACC0266,508.7,D037,151.80.42.170,UK,0.3,2025-09-26 13:22:49
ACC0274,ACC0048,1187.7,D065,53.178.169.194,Germany,0.25,2025-10-11 05:36:07
ACC0173,ACC0289,171.63,D006,207.157.77.176,USA,0.2,2025-09-22 02:10:25
ACC0293,ACC0214,1001.1,D080,84.174.254.87,USA,0.2,2025-10-05 07:14:08
ACC0126,ACC0208,155.22,D039,122.116.133.128,India,0.25,2025-09-21 18:16:05
ACC0175,ACC0074,1471.06,D041,112.43.204.104,Cayman Islands,0.9,2025-10-06 20:33:34
ACC0288,ACC0055,938.28,D041,73.46.34.22,Canada,0.2,2025-09-25 22:41:08
ACC0197,ACC0215,1628.82,D032,194.90.58.205,Germany,0.25,2025-09-19 14:12:41
ACC0256,ACC0264,1759.36,D060,33.251.110.139,India,0.25,2025-10-04 01:16:35
ACC0124,ACC0111,106.83,D075,162.235.225.177,Cayman Islands,0.9,2025-10-04 16:50:15
ACC0147,ACC0275,867.55,D002,196.103.205.113,UK,0.3,2025-09-29 14:54:43
ACC0024,ACC0206,1128.02,D007,83.28.108.139,UAE,0.4,2025-10-03 17:15:54
ACC0282,ACC0144,246.43,D080,110.105.213.96,UAE,0.4,2025-10-08 22:29:07
ACC0188,ACC0074,1023.15,D026,21.19.45.192,UAE,0.4,2025-09-28 00:35:04
ACC0243,ACC0266,1216.46,D059,93.248.166.91,Germany,0.25,2025-09-19 17:53:33
ACC0202,ACC0154,1019.56,D076,135.191.154.86,Cayman Islands,0.9,2025-10-04 21:51:14
ACC0009,ACC0189,1960.0,D043,213.240.195.233,UK,0.3,2025-09-13 03:36:37
ACC0243,ACC0136,1159.49,D084,159.132.53.144,UAE,0.4,2025-09-30 07:31:04
ACC0076,ACC0125,1896.93,D005,14.122.90.117,UAE,0.4,2025-09-19 04:59:39
ACC0212,ACC0105,1552.19,D053,233.227.198.196,France,0.3,2025-09-14 21:07:37
ACC0071,ACC0266,656.85,D027,144.106.90.254,France,0.3,2025-09-20 06:20:10
ACC0236,ACC0273,715.03,D044,194.184.174.215,France,0.3,2025-09-24 16:34:06
ACC0248,ACC0099,1120.59,D032,86.207.83.190,Singapore,0.35,2025-09-21 22:03:37
ACC0251,ACC0163,1125.37,D062,194.80.83.41,Cayman Islands,0.9,2025-10-09 16:42:47
ACC0279,ACC0195,1909.67,D051,84.20.83.254,Cayman Islands,0.9,2025-09-15 16:38:24
ACC0178,ACC0227,1497.2,D084,221.147.79.248,Singapore,0.35,2025-10-09 03:21:45
ACC0140,ACC0071,1484.37,D014,22.181.241.145,UAE,0.4,2025-09-22 19:29:26
ACC0120,ACC0027,667.28,D013,184.207.45.11,Panama,0.85,2025-10-08 13:46:16
ACC0081,ACC0209,960.12,D084,83.92.83.175,India,0.25,2025-09-14 17:29:36
ACC0046,ACC0294,1479.99,D030,19.243.245.54,France,0.3,2025-10-02 03:26:07
ACC0091,ACC0019,380.76,D051,233.247.84.234,India,0.25,2025-09-13 16:12:55
ACC0005,ACC0153,223.53,D073,82.126.174.149,UAE,0.4,2025-10-07 07:26:22
ACC0253,ACC0069,552.95,D065,94.51.197.127,India,0.25,2025-09-24 08:17:58
ACC0096,ACC0008,1583.63,D095,203.59.54.166,Cayman Islands,0.9,2025-10-01 12:59:40
ACC0219,ACC0264,807.66,D042,45.132.92.249,UK,0.3,2025-09-23 21:33:35
ACC0004,ACC0134,899.0,D050,94.87.159.195,Canada,0.2,2025-10-09 16:00:52
ACC0006,ACC0134,1388.61,D084,40.129.88.50,Cayman Islands,0.9,2025-10-01 12:54:31
ACC0258,ACC0160,1281.04,D089,104.167.66.66,UK,0.3,2025-09-18 08:10:59
ACC0245,ACC0079,753.51,D059,243.130.203.147,UAE,0.4,2025-09-22 11:01:55
ACC0127,ACC0042,1061.06,D068,244.154.38.25,India,0.25,2025-10-08 10:37:18
ACC0259,ACC0104,308.21,D074,143.123.39.184,France,0.3,2025-09-21 19:52:27
ACC0299,ACC0251,896.51,D012,43.141.116.126,France,0.3,2025-10-09 05:34:05
ACC0030,ACC0287,1449.33,D060,219.10.200.65,Singapore,0.35,2025-10-09 22:20:44
ACC0038,ACC0024,1403.77,D055,25.249.238.27,Cayman Islands,0.9,2025-10-04 18:34:01
ACC0017,ACC0147,1540.25,D053,196.175.117.105,Germany,0.25,2025-09-30 10:11:06
ACC0230,ACC0194,1368.63,D049,148.44.177.230,UK,0.3,2025-09-28 17:44:43
ACC0061,ACC0092,1062.4,D069,67.223.10.203,Panama,0.85,2025-09-12 23:03:09
ACC0153,ACC0238,854.01,D087,68.73.127.98,France,0.3,2025-09-19 09:17:37
ACC0142,ACC0097,74.11,D093,167.206.249.236,UK,0.3,2025-09-12 14:47:34
ACC0124,ACC0106,1191.95,D009,182.190.233.22,UK,0.3,2025-09-23 17:42:00
ACC0023,ACC0206,1084.12,D057,208.24.45.138,Canada,0.2,2025-09-25 21:34:49
ACC0120,ACC0295,1199.86,D041,92.70.87.234,UAE,0.4,2025-09-18 19:28:28
ACC0267,ACC0114,557.56,D053,161.235.198.243,Singapore,0.35,2025-09-20 08:36:32
ACC0219,ACC0285,1944.86,D064,181.107.211.144,USA,0.2,2025-09-27 07:55:00
ACC0214,ACC0210,759.16,D020,131.71.227.67,Singapore,0.35,2025-09-26 10:56:50
ACC0074,ACC0238,831.23,D008,145.44.109.72,France,0.3,2025-09-24 05:39:20
ACC0105,ACC0170,1845.23,D083,33.147.195.222,UK,0.3,2025-09-21 02:29:28
ACC0027,ACC0138,1209.81,D049,58.215.204.160,UAE,0.4,2025-10-08 23:40:19
ACC0112,ACC0246,613.34,D027,64.249.58.199,Cayman Islands,0.9,2025-09-17 13:14:50
ACC0246,ACC0125,1410.5,D090,71.151.92.208,UAE,0.4,2025-09-25 14:21:07
ACC0195,ACC0239,623.76,D069,235.137.129.35,Cayman Islands,0.9,2025-10-04 15:33:36
ACC0164,ACC0105,833.72,D048,66.199.47.14,Cayman Islands,0.9,2025-09-24 12:23:16
ACC0284,ACC0300,597.43,D075,68.107.155.223,Panama,0.85,2025-09-23 18:51:37
ACC0256,ACC0282,522.08,D084,195.174.199.135,Cayman Islands,0.9,2025-10-04 05:28:07
ACC0087,ACC0181,1443.42,D022,244.237.148.174,Germany,0.25,2025-09-14 16:59:31
ACC0269,ACC0018,1531.03,D010,225.171.69.27,USA,0.2,2025-09-19 04:31:35
ACC0005,ACC0112,752.67,D065,180.249.167.243,India,0.25,2025-10-05 07:32:16
ACC0250,ACC0009,12941.26,D001,147.83.14.138,Panama,0.85,2025-10-02 18:13:05
ACC0092,ACC0055,306.31,D013,144.74.218.100,France,0.3,2025-09-24 20:01:12
ACC0204,ACC0041,923.41,D048,188.67.86.185,Panama,0.85,2025-09-15 18:29:22
ACC0017,ACC0048,760.57,D052,173.12.189.53,Panama,0.85,2025-09-15 20:54:01
ACC0256,ACC0223,1136.05,D083,34.239.145.245,Cayman Islands,0.9,2025-09-13 22:08:26
ACC0118,ACC0109,6115.22,D089,240.149.154.178,Panama,0.85,2025-09-13 10:53:51
ACC0092,ACC0162,1178.2,D003,192.220.111.247,Canada,0.2,2025-09-15 14:12:10
ACC0154,ACC0084,1137.72,D073,183.239.148.94,Canada,0.2,2025-09-30 11:46:38
ACC0072,ACC0041,116.86,D065,224.29.97.164,Cayman Islands,0.9,2025-10-11 15:46:08
ACC0204,ACC0168,1569.26,D004,68.101.151.250,Singapore,0.35,2025-09-30 01:58:05
ACC0222,ACC0096,1324.74,D088,168.85.214.73,UAE,0.4,2025-09-15 10:12:20
ACC0043,ACC0138,1426.24,D020,199.109.91.102,Panama,0.85,2025-09-17 00:42:17
ACC0047,ACC0003,726.24,D040,43.32.57.120,India,0.25,2025-10-03 15:30:17
ACC0286,ACC0285,215.55,D066,151.33.162.163,Panama,0.85,2025-09-27 14:33:10
ACC0198,ACC0007,781.72,D038,240.153.241.72,Panama,0.85,2025-10-09 14:56:46
ACC0267,ACC0087,347.31,D088,78.136.47.26,Panama,0.85,2025-09-19 23:22:29
ACC0223,ACC0142,973.62,D054,74.251.73.194,Singapore,0.35,2025-10-05 22:12:57
ACC0101,ACC0235,616.27,D014,95.225.168.107,Germany,0.25,2025-09-27 20:30:29
ACC0226,ACC0172,280.89,D056,252.187.61.132,UAE,0.4,2025-09-27 02:36:51
ACC0091,ACC0204,1472.4,D041,157.210.72.93,Singapore,0.35,2025-09-30 02:42:01
ACC0144,ACC0202,1864.81,D047,149.56.184.206,UK,0.3,2025-10-08 13:28:34
ACC0014,ACC0237,882.53,D091,187.27.219.227,Canada,0.2,2025-10-01 17:14:55
ACC0256,ACC0072,491.62,D082,193.118.212.106,Singapore,0.35,2025-09-15 10:44:23
ACC0230,ACC0246,1073.39,D075,232.187.117.149,Panama,0.85,2025-09-13 15:23:55
